th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),a1 (rad/s^2),a2 (rad/s^2)
1.003373737149103,-3.5026721569198145,1.9205818978740525,-4.268783957317561,5.801984631787912,-22.474624387505237
0.9683470155799048,-3.4446523106019353,1.877894058300877,-4.4935302011926135,6.94691670401289,-22.972289956861243
0.9339004924738854,-3.3751831435618063,1.8329587562889509,-4.723253100761226,8.150971781568765,-23.454766379013233
0.9001486610382673,-3.2936734257461184,1.7857262252813386,-4.957800764551358,9.410021669224383,-23.92919259242988
0.867211926780806,-3.1995732090538747,1.736148217635825,-5.197092690475657,10.718240734068674,-24.40406376169098
0.8352161946902673,-3.092390801713188,1.6841772907310684,-5.441133328092566,12.067702928052073,-24.888816206143805
0.8042922866731355,-2.971713772432667,1.6297659574501426,-5.690021490154004,13.447749965079668,-25.393039991355174
0.7745751489488087,-2.8372362727818703,1.5728657425486026,-5.943951890067556,14.843985251482723,-25.925126717597532
0.74620278622099,-2.688796420267043,1.513426223647927,-6.203203157243531,16.236675632549638,-26.49006507108964
0.7193148220183195,-2.5264296639415464,1.4513941920754916,-6.468103807954428,17.598245243909485,-27.085962624552547
0.6940505253789041,-2.3504472115024515,1.3867131539959474,-6.738963434199953,18.889427088851782,-27.69869991078976
0.6705460532638796,-2.1615529406139338,1.319323519653948,-7.015950433307851,20.053527787188496,-28.293943768983524
0.6489305238577403,-1.9610176627420488,1.2491640153208694,-7.298889870997686,21.00825214606855,-28.80567583766175
0.6293203472303198,-1.7509351412813632,1.1761751166108925,-7.586946629374304,21.634859942000126,-29.120731000493343
0.6118109958175062,-1.534586541861362,1.1003056503171493,-7.878153939379238,21.76558492213383,-29.06025338320772
0.5964651303988926,-1.3169306926400237,1.021524110923357,-8.168756473211316,21.173106393851597,-28.36265491896952
0.5832958234724923,-1.1051996287015078,0.9398365461912439,-8.45238302240101,19.571450963226468,-26.68005770529516
0.5722438271854773,-0.9094851190692431,0.8553127159672338,-8.719183599453961,16.645766890315283,-23.611147554184054
0.5631489759947849,-0.7430274501660903,0.7681208799726942,-8.955295074995801,12.13354884153051,-18.80081853734957
0.555718701493124,-0.6216919617507852,0.6785679292227361,-9.143303260369297,5.9666262796368414,-12.120273546985892
0.5495017818756162,-0.5620256989544168,0.5871348966190432,-9.264505995839157,-1.5677793292292086,-3.8741997139611404
0.543881524886072,-0.5777034922467089,0.4944898366606516,-9.303247992978768,-9.762797327058868,5.116458647419148
0.5381044899636049,-0.6753314655172976,0.4014573567308639,-9.252083406504577,-17.646292271072802,13.71447567628424
0.531351175308432,-0.8517943882280257,0.30893652266581817,-9.114938649741735,-24.324280108805866,20.90551499845023
0.5228332314261518,-1.0950371893160844,0.21778713616840084,-8.905883499757232,-29.28993466332367,26.18036394850672
0.511882859532991,-1.3879365359493212,0.1287283011708285,-8.644079860272164,-32.49410221733712,29.60006543372073
0.49800349417349776,-1.7128775581226925,0.04228750256810686,-8.348079205934956,-34.19721504211994,31.58421032886204
